B06272DF-8729-4741-AEF4-72ABF3CF3DA8;petgo;petgo
ba761e6d-54fa-4680-a3d5-b007e209f610;Noch kein Account?;Don't have an Account yet?
65b8f804-9552-4f0d-9733-40aa5f6ee0c8;Deutschland;Germany
3643e202-fa96-4505-8c86-adabe8d61670;EU-Ausland;other European country
f0ac36b5-758a-467b-95d3-0a829a1b4672;Nicht-EU-Ausland;none European country
245d3947-a9a0-42e5-a0f5-ad7c671f87c9;Haus - Eigentum;House - Property
cd4d0da9-773b-4178-9d9a-c34dcc7b5ee8;Haus - Miete;House - Rent
3e5543db-1bba-448b-a6f3-fddcf6897cfa;Wohnung - Eigentum;Apartement - Property
233ef210-2d3a-468b-9a98-2070385c7a00;Wohnung - Miete;Apartement - Rent
f36f049b-1b98-4e97-a0cd-777a49e2519f;ttester@beispielmail.de;ttester@examplemail.com
8f900511-9881-44fb-805e-4b5ae04f654b;Passwort;Password
8a8b8562-b782-4088-93ca-1e25babdd476;Login;Sign in
1e4af000-c68b-42c6-b5a8-5e1d4b0a351b;Registrieren;Sign Up
cb6b03c7-60fd-49bb-9d54-72c9bc2eeab9;Passwort wiederholen;Password confirmation
b9368fba-5ea8-4cf1-b891-51fd6fea2709;Hast du bereits einen Account?;Already have an account?
bccc8ad8-88df-4e47-8cd7-75b5b6e1cd72;Die Passwörter stimmen nicht überein.;The passwords are not equal.
